"Per capita real GDP by metropolitan area (chained 2009 dollars)"
"Levels" 
"Bureau of Economic Analysis" 
"All industry total"
"Fips","Area","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"17140","Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",48223,48968,49649,50349,51101,50563,50542,49921,47659,48663,49573,50424,50400,51930,52649
"17300","Clarksville, TN-KY (Metropolitan Statistical Area)",30494,31378,33636,34134,35940,37484,35298,36438,35476,35882,37695,36313,36235,35000,35147
"17420","Cleveland, TN (Metropolitan Statistical Area)",31688,32528,32707,33432,32368,31940,30307,30165,28821,28926,29368,32185,32537,33447,33182
"17460","Cleveland-Elyria, OH (Metropolitan Statistical Area)",49246,49996,51381,53283,53627,53709,53812,53441,50535,52021,53726,54150,53863,55335,56013
"17660","Coeur d'Alene, ID (Metropolitan Statistical Area)",28388,28811,30121,30887,32237,33481,34039,32945,31400,30887,30493,29965,31151,31144,31060
"17780","College Station-Bryan, TX (Metropolitan Statistical Area)",29060,27443,28483,28845,29274,29804,29885,29916,31305,31364,30932,32002,32444,33386,33457
"17820","Colorado Springs, CO (Metropolitan Statistical Area)",41279,40413,41574,41692,42742,41803,41766,39952,39661,39990,39960,39863,38771,38633,38989
"17860","Columbia, MO (Metropolitan Statistical Area)",42375,39902,42213,42629,42952,43058,42464,41178,40761,41057,40876,40798,42393,42296,42269
"17900","Columbia, SC (Metropolitan Statistical Area)",41740,41827,42732,43341,43817,44367,44418,43562,41794,41074,40995,40872,40986,41821,42201
"17980","Columbus, GA-AL (Metropolitan Statistical Area)",36920,35680,37517,37295,38150,38390,39899,39597,39237,39589,39740,39241,38903,38720,38871
"18020","Columbus, IN (Metropolitan Statistical Area)",49415,48227,49278,52638,52928,56380,59178,60438,51997,58335,60800,62928,63136,64118,64406
"18140","Columbus, OH (Metropolitan Statistical Area)",51823,52973,52848,53738,53989,53517,53214,51537,49307,50141,51627,53307,53410,53964,55005
"18580","Corpus Christi, TX (Metropolitan Statistical Area)",35804,36548,37957,40341,38143,39266,41967,39872,41648,42206,41182,42106,45719,46038,46486
"18700","Corvallis, OR (Metropolitan Statistical Area)",30381,34032,38569,46169,45550,51763,53277,60226,61545,63911,62591,55676,51389,49520,48452
"18880","Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)",40066,47706,49218,50305,55713,56755,55388,50596,48583,45819,46475,44195,43314,42813,43400
"19060","Cumberland, MD-WV (Metropolitan Statistical Area)",24366,25116,25332,25190,26262,26310,25573,25568,26035,26988,27213,27111,26763,26879,27223
"19100","Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",56207,56752,55729,57297,57859,59138,59480,58942,56313,57102,58245,59986,60957,62324,63197
"19140","Dalton, GA (Metropolitan Statistical Area)",41420,41822,41929,46440,46935,45689,45628,40991,37661,34383,34888,35308,36848,37572,37269
"19180","Danville, IL (Metropolitan Statistical Area)",29014,29105,30962,31751,31542,32622,31393,31352,30486,30953,31182,31590,31962,31549,30669
"19300","Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)",28422,28794,29169,30801,30944,31255,31898,32192,30970,30451,30086,29572,29719,29530,29898
"19340","Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)",39951,41382,42721,44965,46065,46278,46618,46724,44765,45934,47231,48346,47106,46359,45671
"19380","Dayton, OH (Metropolitan Statistical Area)",43586,44281,44564,45595,46021,46765,46004,44656,41663,42309,43619,43545,43033,43894,43748
"19460","Decatur, AL (Metropolitan Statistical Area)",30531,30093,31675,34280,33539,33734,33883,33279,31759,32183,31013,31647,31972,32234,31266
"19500","Decatur, IL (Metropolitan Statistical Area)",46223,44327,46429,49388,50754,51353,53219,54377,50735,50199,51666,50582,49988,51756,50660
"19660","Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)",25549,25353,25642,25833,26124,26080,25813,24106,22642,22567,21639,21553,21371,21564,21697
"19740","Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)",59581,59464,59270,59658,61809,61754,61444,61553,59811,59622,59295,60306,60723,62318,63400
"19780","Des Moines-West Des Moines, IA (Metropolitan Statistical Area)",58386,59344,62725,67180,70162,67728,73079,65458,62938,62889,64150,67373,64868,66418,66499
"19820","Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",49417,50324,51408,50897,52004,50728,50647,48018,43181,45969,47808,49147,49700,50425,51428
"20020","Dothan, AL (Metropolitan Statistical Area)",30488,32692,33333,34533,35661,35239,34145,31950,30722,30978,30261,29906,30249,30258,30748
"20100","Dover, DE (Metropolitan Statistical Area)",40291,40870,41012,42480,41223,40447,39400,37400,39494,36893,36170,35616,35132,36247,36341
"20220","Dubuque, IA (Metropolitan Statistical Area)",40044,42039,42877,46568,48006,48588,48582,47186,45119,47395,47541,53301,49814,51134,51188
"20260","Duluth, MN-WI (Metropolitan Statistical Area)",34508,36291,36812,37978,38052,37369,37152,37036,34719,38168,40176,38733,40498,41279,39682
"20500","Durham-Chapel Hill, NC (Metropolitan Statistical Area)",57450,59597,62140,61767,63496,73220,77411,78866,78064,78644,71484,69763,72334,72460,71334
"20700","East Stroudsburg, PA (Metropolitan Statistical Area)",31552,31556,30488,31449,32264,32773,33769,33721,32989,32783,30825,30139,29809,29353,30295
"20740","Eau Claire, WI (Metropolitan Statistical Area)",34275,35856,37186,38148,40650,40968,40666,39499,38850,40014,40098,41677,41132,42876,43952
"20940","El Centro, CA (Metropolitan Statistical Area)",25365,28893,27805,26826,27818,29035,27243,29267,28506,27507,28447,26651,27236,28385,28836
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)",30027,30476,32080,33066,32883,34152,32804,33261,32736,35703,36946,37244,38141,36300,37936
"21140","Elkhart-Goshen, IN (Metropolitan Statistical Area)",44829,48683,53021,55300,56597,58385,59789,51897,40144,51974,52408,55577,58643,61338,63115
"21300","Elmira, NY (Metropolitan Statistical Area)",30154,29975,30415,31234,33032,32690,32731,33958,32983,35177,35738,35753,35476,35221,34887
"21340","El Paso, TX (Metropolitan Statistical Area)",33255,33907,33570,32855,32506,33816,33918,31589,30861,30622,30062,30108,29840,29965,30865
"21420","Enid, OK (Metropolitan Statistical Area)",30375,31443,34031,34500,35144,37098,36936,37146,37339,37555,38604,42056,43408,44958,44978
"21500","Erie, PA (Metropolitan Statistical Area)",34421,33491,33673,35363,36198,36336,36701,36799,34395,34248,35571,34572,35220,34866,34914
"21660","Eugene, OR (Metropolitan Statistical Area)",31016,31452,32145,34154,34604,35670,36391,36787,32978,33095,33720,33986,34703,34703,35327
"21780","Evansville, IN-KY (Metropolitan Statistical Area)",49332,51262,51638,51605,50169,50011,49462,50397,49124,50013,49810,47708,47137,47491,48307
"21820","Fairbanks, AK (Metropolitan Statistical Area)",54966,52219,54800,55327,55847,59118,58450,57417,53030,51299,51866,50436,48806,49518,48432
"22020","Fargo, ND-MN (Metropolitan Statistical Area)",45306,47498,48649,49383,49617,50126,50168,51890,50498,53154,57069,60167,58637,59305,58644
"22140","Farmington, NM (Metropolitan Statistical Area)",47586,45657,44169,45102,44381,45730,46422,46740,48949,44625,48631,48735,48268,51129,52213
"22180","Fayetteville, NC (Metropolitan Statistical Area)",36909,37371,38585,38867,41426,41686,42066,43762,44494,44530,44023,43573,42165,40695,40503
"22220","Fayetteville-Springdale-Rogers, AR-MO (Metropolitan Statistical Area)",37321,39150,41323,43419,44180,43937,42406,42746,40318,42808,44760,44102,43984,45429,46312
"22380","Flagstaff, AZ (Metropolitan Statistical Area)",32350,32681,33640,34048,35169,37370,40070,38739,35850,35607,34876,34105,35138,35132,35247
"22420","Flint, MI (Metropolitan Statistical Area)",30538,31902,32477,32061,31741,31528,30570,28337,26417,27936,28412,28910,29180,29610,30525
"22500","Florence, SC (Metropolitan Statistical Area)",35590,35825,36721,36481,36785,37158,37721,36170,34308,33577,33016,33418,34738,34855,35220
"22520","Florence-Muscle Shoals, AL (Metropolitan Statistical Area)",24842,24904,25832,26781,27523,27852,27428,26674,26475,26915,26867,27122,27910,28583,29428
"22540","Fond du Lac, WI (Metropolitan Statistical Area)",37666,36947,38101,39447,39800,40210,40062,39305,36031,36693,37798,38269,38479,40121,40588
"22660","Fort Collins, CO (Metropolitan Statistical Area)",38094,39752,39503,39678,39986,39702,39946,38924,37841,38712,38817,39324,40292,41093,42140
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)",31741,32235,33601,34460,35994,37099,35139,34776,32589,33549,33468,33308,34355,34960,34523
"23060","Fort Wayne, IN (Metropolitan Statistical Area)",42097,42214,42469,42756,43397,44519,44676,43051,40541,42647,43003,43856,43720,44395,44912
"23420","Fresno, CA (Metropolitan Statistical Area)",31010,32898,33729,34057,34776,35744,34781,34281,34053,33929,34371,33625,33595,33893,34839
"23460","Gadsden, AL (Metropolitan Statistical Area)",24068,24547,24938,25872,26246,26069,25609,25394,24688,24881,25403,24900,24502,25043,25172
"23540","Gainesville, FL (Metropolitan Statistical Area)",36098,36164,36510,39403,39434,39647,40924,40374,39327,39718,38778,38518,38428,38753,38843
"23580","Gainesville, GA (Metropolitan Statistical Area)",43390,41190,40759,41112,42431,40995,39811,38008,35933,35756,37316,37062,37350,37649,39088
"23900","Gettysburg, PA (Metropolitan Statistical Area)",25143,25443,26619,26524,27377,28234,28168,27516,27303,26142,25280,25791,26448,27073,26389
"24020","Glens Falls, NY (Metropolitan Statistical Area)",28291,29181,29862,31232,31873,31850,31115,31543,31770,32580,32523,33086,32684,33029,33215
"24140","Goldsboro, NC (Metropolitan Statistical Area)",32550,31924,31692,32833,33110,34556,33633,32919,33121,32227,31567,31747,31484,31286,31839
"24220","Grand Forks, ND-MN (Metropolitan Statistical Area)",33788,34861,37511,35818,36337,38204,38408,40981,39538,40021,39883,42501,42492,41955,42948
"24260","Grand Island, NE (Metropolitan Statistical Area)",33724,34819,36564,37045,39572,41329,41778,41422,41367,41178,42707,42767,43227,41721,41609
"24300","Grand Junction, CO (Metropolitan Statistical Area)",31506,31998,31922,32251,33384,34059,35763,37844,33829,32746,32791,33053,32594,33424,33242
"24340","Grand Rapids-Wyoming, MI (Metropolitan Statistical Area)",43706,44981,45627,46309,46950,46609,44961,42886,40019,41519,42528,43887,44685,46111,46677
"24420","Grants Pass, OR (Metropolitan Statistical Area)",20124,20697,21436,22709,23107,23980,23377,22840,22046,21371,21393,21187,20386,20886,21562
"24500","Great Falls, MT (Metropolitan Statistical Area)",32375,32516,33420,34262,34295,35927,36125,36456,36121,36492,36406,36029,35076,36097,37477
"24540","Greeley, CO (Metropolitan Statistical Area)",33829,32598,31328,30934,31276,31050,31025,30211,29521,29075,28844,29307,30349,32581,33413
"24580","Green Bay, WI (Metropolitan Statistical Area)",49713,49723,50862,51741,51743,51494,51135,49585,48438,49579,50296,51230,51438,52242,52811
"24660","Greensboro-High Point, NC (Metropolitan Statistical Area)",49391,49167,49286,49546,50170,51079,49697,48907,46199,46518,46701,45535,46168,46834,46257
"24780","Greenville, NC (Metropolitan Statistical Area)",38098,38031,38029,36799,37239,37787,38493,38362,37306,36538,37182,37229,36864,37207,37041
"24860","Greenville-Anderson-Mauldin, SC (Metropolitan Statistical Area)",40322,39992,41064,39152,39730,39302,39840,39105,36666,37710,38602,37932,38108,38721,39213
"25060","Gulfport-Biloxi-Pascagoula, MS (Metropolitan Statistical Area)",35975,35137,37416,35698,37577,41599,42007,43493,41221,40389,38798,40938,37993,37271,37621
"25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)",31834,32076,32039,32384,33122,33246,31812,31008,30139,30120,30706,30850,30409,30334,30411
"25220","Hammond, LA (Metropolitan Statistical Area)",21526,22375,23428,24963,26812,30218,28498,29037,27413,29228,28237,26261,25524,26073,25069
"25260","Hanford-Corcoran, CA (Metropolitan Statistical Area)",26489,27674,29648,30631,31270,30595,32237,30858,27504,27507,30516,29915,30513,30834,32027
"25420","Harrisburg-Carlisle, PA (Metropolitan Statistical Area)",52799,52712,53269,54487,54610,54978,54929,53438,52593,52475,52919,53230,53201,53483,53844
"25500","Harrisonburg, VA (Metropolitan Statistical Area)",53351,48504,49440,48776,49819,51090,52647,49574,53315,54537,53400,52430,51452,51003,49485
"25540","Hartford-West Hartford-East Hartford, CT (Metropolitan Statistical Area)",61911,59467,59742,63836,64874,67188,71325,69216,68155,66905,65215,63504,62225,63197,63890
"25620","Hattiesburg, MS (Metropolitan Statistical Area)",30542,31490,32205,33012,33303,34801,34512,34336,34054,33979,33654,34166,33627,33533,33869
"25860","Hickory-Lenoir-Morganton, NC (Metropolitan Statistical Area)",36385,36116,34999,36120,35795,36929,34230,33256,30906,31488,31548,31546,30833,31055,32147
"25940","Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)",46370,47570,48605,48753,48725,48971,48538,43712,40400,38784,37242,35742,34969,34971,34285
"25980","Hinesville, GA (Metropolitan Statistical Area)",32071,31272,34459,34203,35560,36582,36314,40120,38080,42404,42575,40234,40500,38024,38352
"26140","Homosassa Springs, FL (Metropolitan Statistical Area)",22352,22756,23497,23341,24417,24243,23879,21987,22496,23088,22403,21778,21309,19588,18977
"26300","Hot Springs, AR (Metropolitan Statistical Area)",27253,27265,27595,28366,29116,28954,28290,28087,26868,28122,29805,30983,31896,31995,31086
"26380","Houma-Thibodaux, LA (Metropolitan Statistical Area)",39538,36020,35332,34995,36132,41503,44670,46760,50100,51046,49172,51992,53680,53998,49556
"26420","Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",65094,63638,61522,64130,63001,64740,68033,65356,64206,63670,64682,67039,69295,69449,70797
"26580","Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)",28871,29970,30189,30837,31239,31562,31822,32777,33282,33134,32419,33428,36461,36274,36372
"26620","Huntsville, AL (Metropolitan Statistical Area)",41162,43878,46188,48537,49694,50217,49813,49501,48725,50197,50112,49504,48891,48927,49485
"26820","Idaho Falls, ID (Metropolitan Statistical Area)",35233,36794,37000,37568,37902,39009,38874,39392,38194,37339,37044,36445,36117,35549,36906
